,taxdoug_2016,view_transgender_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,affirmact_gen_2016,immi_contribution_2016,police_threat_2016,pid3_2016,gvmt_involment_2016,wealth_2016,policies_favor_2016,obamaapp_2016,healthreformbill_2016,presvote16post_2016
3337,Yes,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3338,Yes,Should be required to use the restrooms of the gender they were born into,Disagree,Men and women have equal opportunities,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Kept the same,Hillary Clinton
3339,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Don't know,Republican,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
3340,Yes,Don't know,Agree,Men and women have equal opportunities,Don't know,Neither,Don't know,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Kept the same,Hillary Clinton
3341,Yes,Should be required to use the restrooms of the gender they were born into,Disagree,Men have more opportunities than women,Favor,Neither,Don't know,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Somewhat Approve,Expanded,Hillary Clinton
3342,Yes,Don't know,Disagree,Men and women have equal opportunities,Favor,Mostly a drain,Isolated incidents,Democrat,We need a strong government to handle today's complex economic problems,Distribution is fair,Don't know,Strongly Approve,Kept the same,Hillary Clinton
3343,Yes,Don't know,Agree,Men have more opportunities than women,Don't know,Mostly a drain,Part of a broader pattern,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Kept the same,Hillary Clinton
3344,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Oppose,Mostly a drain,Part of a broader pattern,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3345,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men and women have equal opportunities,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Favor whites over blacks,Somewhat Disapprove,Expanded,Hillary Clinton
3346,Yes,Don't know,Disagree,Men have more opportunities than women,Don't know,Don't know,Don't know,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Kept the same,Hillary Clinton
3347,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Agree,Men have more opportunities than women,Don't know,Mostly make a contribution,Part of a broader pattern,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3348,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Republican,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Kept the same,Hillary Clinton
3349,No,Should be required to use the restrooms of the gender they were born into,Disagree,Men and women have equal opportunities,Oppose,Neither,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Distribution is fair,Treat both groups the same,Somewhat Approve,Repealed,Donald Trump
3350,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3351,Yes,Should be required to use the restrooms of the gender they were born into,Agree,Men have more opportunities than women,Favor,Mostly a drain,Part of a broader pattern,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor whites over blacks,Somewhat Approve,Expanded,Hillary Clinton
3352,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Don't know,Don't know,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Don't know,Hillary Clinton
3353,Yes,Don't know,Agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,Don't know,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
3354,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,Don't know,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Kept the same,Hillary Clinton
