,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
3490,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
3491,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3492,,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3493,"Neither support, nor oppose",Not sure,Pay more,Strongly Disapprove,Republican,Probably is happening,Not sure,Repealed,Evan McMullin
3494,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Not sure,Hillary Clinton
3495,Not sure,Generally headed in the right direction,Pay more,Strongly Approve,Independent,Definitely is happening,Favor,Not sure,Hillary Clinton
3496,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Favor,Kept the same,Donald Trump
3497,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3498,Not sure,Off on the wrong track,Not sure,Not Sure,Not sure,Probably is happening,Not sure,Not sure,Donald Trump
3499,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3500,Not sure,Off on the wrong track,Not sure,Strongly Disapprove,Republican,Probably is not happening,Not sure,Repealed,Did not vote for President
3501,Somewhat oppose,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Favor,Repealed,Gary Johnson
3502,Not sure,Not sure,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3503,"Neither support, nor oppose",Not sure,Pay more,Not Sure,Independent,Definitely is happening,Favor,Not sure,Hillary Clinton
3504,Not sure,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Repealed,Hillary Clinton
3505,Somewhat oppose,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Oppose,Expanded,Hillary Clinton
3506,Strongly oppose,Off on the wrong track,About the same,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3507,Somewhat oppose,Off on the wrong track,Not sure,Somewhat Disapprove,Independent,Definitely is happening,Favor,Repealed,Jill Stein
3508,Not sure,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
3509,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Republican,Definitely is happening,Favor,Kept the same,Hillary Clinton
3510,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
3511,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3512,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3513,Somewhat oppose,Not sure,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3514,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3515,Somewhat oppose,Off on the wrong track,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3516,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Favor,Repealed,Other
3517,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3518,Not sure,Off on the wrong track,Not sure,Somewhat Disapprove,Democrat,Not sure,Favor,Not sure,Donald Trump
3519,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
3520,Not sure,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Definitely is happening,Oppose,Repealed,Gary Johnson
3521,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Favor,Repealed,Donald Trump
3522,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Oppose,Repealed,Did not vote for President
3523,Strongly oppose,Off on the wrong track,About the same,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3524,"Neither support, nor oppose",Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
3525,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Favor,Repealed,Donald Trump
3526,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3527,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
3528,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3529,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
3530,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Not sure,Repealed,Donald Trump
3531,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
3532,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
3533,Somewhat oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,Not sure,Hillary Clinton
3534,Not sure,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,,Repealed,Donald Trump
3535,Somewhat oppose,Not sure,About the same,Not Sure,Independent,Probably is happening,Not sure,Not sure,Donald Trump
3536,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Not sure,Repealed,Donald Trump
3537,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,
3538,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3539,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
3540,Somewhat oppose,Not sure,Pay less,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3541,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Favor,Repealed,Donald Trump
3542,Strongly oppose,Off on the wrong track,Not sure,Somewhat Disapprove,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3543,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Probably is not happening,Favor,Expanded,Hillary Clinton
3544,Somewhat oppose,Not sure,About the same,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3545,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
3546,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3547,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
3548,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
3549,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3550,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Disapprove,Republican,Probably is happening,Oppose,Kept the same,Donald Trump
3551,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Not sure,Favor,Not sure,Donald Trump
3552,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Favor,Repealed,Hillary Clinton
3553,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3554,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is happening,Favor,Repealed,
3555,Somewhat oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
3556,,Generally headed in the right direction,About the same,Strongly Approve,Democrat,,Favor,,Hillary Clinton
3557,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3558,Strongly oppose,Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Probably is happening,Not sure,Repealed,Donald Trump
3559,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3560,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
3561,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
3562,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3563,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3564,Strongly oppose,Not sure,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3565,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3566,"Neither support, nor oppose",Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Repealed,Hillary Clinton
3567,Not sure,Not sure,Pay more,Somewhat Approve,Democrat,Probably is happening,Not sure,Not sure,
3568,Somewhat support,Generally headed in the right direction,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Not sure,Hillary Clinton
3569,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
3570,Not sure,Not sure,Pay more,Somewhat Disapprove,Democrat,Not sure,Not sure,Not sure,Donald Trump
3571,Strongly oppose,Not sure,About the same,Not Sure,Independent,Definitely is happening,Favor,Not sure,Hillary Clinton
3572,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Oppose,Kept the same,Hillary Clinton
3573,"Neither support, nor oppose",Off on the wrong track,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Not sure,Donald Trump
3574,Somewhat oppose,Not sure,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Favor,Kept the same,Donald Trump
3575,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Jill Stein
3576,Not sure,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Favor,Repealed,Donald Trump
3577,"Neither support, nor oppose",Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Favor,Repealed,Hillary Clinton
3578,Not sure,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Not sure,Not sure,Hillary Clinton
3579,Strongly oppose,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Favor,Not sure,Donald Trump
3580,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
3581,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3582,Strongly oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Democrat,Probably is not happening,Favor,Expanded,Hillary Clinton
3583,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3584,Strongly oppose,Not sure,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
3585,Somewhat oppose,Not sure,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3586,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
3587,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
3588,Strongly oppose,Off on the wrong track,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
3589,Somewhat support,Off on the wrong track,About the same,Strongly Disapprove,Democrat,Probably is happening,Favor,Repealed,Donald Trump
3590,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
