obamaapp_2016,healthreformbill_2016,univhealthcov_2016,ft_blm_2016,policies_favor_2016,imiss_l_2016,envwarm_2016,immi_muslim_2016,pid3_2016,pp_primary16_2016,ideo5_2016,govt_reg_2016,immi_contribution_2016,wealth_2016,gvmt_involment_2016,ft_fem_2016,police_threat_2016,reverse_discrimination_2016,RIGGED_SYSTEM_4_2016,affirmact_gen_2016,race_slave_2016,race_overcome_2016,view_transgender_2016,RIGGED_SYSTEM_3_2016,ft_unions_2016,presvote16post_2016
Strongly Approve,Kept the same,Yes,41.045111462173075,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,About the right amount,Mostly make a contribution,Don't know,We need a strong government to handle today's complex economic problems,52.993479752916954,Part of a broader pattern,Don't Know,Agree,Favor,Agree,Don't Know,Should be allow to us the restrooms of the gender with which they currently identify,Agree,58.0,Hillary Clinton
Strongly Disapprove,Don't know,Yes,25.0,Favor blacks over whites,Very important,Probably is happening,Strongly favor,Republican,"No, not in either",Moderate,Don't know,Neither,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,0.0,Isolated incidents,Agree,Strongly agree,Don't know,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,50.0,Donald Trump
Strongly Approve,Expanded,Yes,60.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Disagree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,100.0,Hillary Clinton
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Not very important,Probably is not happening,Strongly favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,49.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,3.0,Donald Trump
Strongly Disapprove,Repealed,Don't know,3.0,Favor blacks over whites,Not very important,Probably is happening,Somewhat favor,Independent,"No, not in either",Conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,29.0,Isolated incidents,Disagree,Agree,Oppose,Disagree,Agree,Don't know,Agree,41.0,Donald Trump
Strongly Approve,Kept the same,Yes,48.0,Treat both groups the same,Somewhat important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,75.0,Part of a broader pattern,Strongly Agree,Strongly disagree,Favor,Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,63.0,Hillary Clinton
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Republican,"No, not in either",Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,50.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly disagree,31.0,Donald Trump
Strongly Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Unimportant,Definitely is not happening,Somewhat favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,25.0,Isolated incidents,Disagree,Strongly agree,Oppose,Strongly Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,21.0,Donald Trump
Somewhat Approve,Expanded,No,50.0,Treat both groups the same,Very important,Probably is happening,Strongly oppose,Independent,"No, not in either",Moderate,Too much,Mostly make a contribution,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,50.0,Part of a broader pattern,Strongly Disagree,Disagree,Don't know,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,70.0,Hillary Clinton
Strongly Disapprove,Repealed,No,3.0,Favor blacks over whites,Somewhat important,Probably is not happening,Somewhat favor,Independent,"No, not in either",Conservative,Don't know,Mostly a drain,Should be more evenly distributed,Don't know,71.0,Isolated incidents,Strongly Agree,Agree,Don't know,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,4.0,Donald Trump
Somewhat Disapprove,Repealed,No,9.0,Favor blacks over whites,Not very important,Probably is happening,Strongly favor,Democrat,"No, not in either",Liberal,Too little,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,70.0,Isolated incidents,Agree,Agree,Oppose,Strongly Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Strongly agree,6.0,Donald Trump
Strongly Disapprove,Repealed,No,3.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,"No, not in either",Conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,13.0,Isolated incidents,Strongly Agree,Strongly agree,Don't know,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Disagree,1.0,Donald Trump
Strongly Approve,Don't know,Yes,87.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,Don't know,100.0,Part of a broader pattern,Strongly Disagree,Agree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,31.0,Hillary Clinton
Strongly Approve,Expanded,Don't know,6.0,Treat both groups the same,Somewhat important,Probably is happening,Somewhat oppose,Democrat,"No, not in either",Liberal,About the right amount,Don't know,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,52.993479752916954,Isolated incidents,Don't Know,Agree,Don't know,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,51.91723549488054,Hillary Clinton
Somewhat Disapprove,Kept the same,Yes,41.045111462173075,Treat both groups the same,Not very important,Probably is not happening,Somewhat oppose,Independent,In the Republican primary,Moderate,Too much,Mostly make a contribution,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,9.0,Isolated incidents,Agree,Disagree,Oppose,Agree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,51.0,Hillary Clinton
Strongly Disapprove,Repealed,Yes,85.0,Favor blacks over whites,Not very important,Probably is not happening,Somewhat oppose,Democrat,"No, not in either",Moderate,Too much,Mostly a drain,Don't know,We need a strong government to handle today's complex economic problems,66.0,Isolated incidents,Strongly Agree,Agree,Don't know,Strongly Disagree,Agree,Don't know,Strongly agree,99.0,Donald Trump
Strongly Approve,Expanded,Yes,10.0,Treat both groups the same,Very important,Definitely is happening,Don't know,Democrat,In the Democratic primary,Very liberal,Don't know,Mostly a drain,Should be more evenly distributed,Don't know,92.0,Don't know,Agree,Agree,Don't know,Strongly Disagree,Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,39.0,Hillary Clinton
Strongly Approve,Don't know,Yes,100.0,Don't know,Very important,Don't know,Don't know,Independent,"Not sure, don't recall",Very conservative,About the right amount,Mostly a drain,Should be more evenly distributed,Don't know,50.0,Don't know,Don't Know,Disagree,Don't know,Don't Know,Don't Know,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,24.0,Hillary Clinton
Strongly Approve,Don't know,Don't know,7.0,Treat both groups the same,Somewhat important,Definitely is happening,Somewhat favor,Democrat,In the Democratic primary,Moderate,About the right amount,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,56.0,Isolated incidents,Strongly Agree,Agree,Oppose,Strongly Disagree,Strongly Agree,Don't know,Strongly agree,62.0,Hillary Clinton
Strongly Approve,Expanded,Yes,80.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly a drain,Should be more evenly distributed,Don't know,82.0,Part of a broader pattern,Disagree,Agree,Favor,Strongly Agree,Disagree,Don't know,Strongly agree,50.0,Hillary Clinton
Strongly Approve,Repealed,No,100.0,Treat both groups the same,Very important,Definitely is happening,Somewhat favor,Democrat,In the Democratic primary,Moderate,Don't know,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,75.0,Don't know,Don't Know,Disagree,Favor,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,100.0,Hillary Clinton
Strongly Disapprove,Repealed,No,2.0,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Independent,In the Democratic primary,Conservative,Too much,Mostly a drain,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,61.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,59.0,Donald Trump
